WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
411,Xuzhou,CN,34.1805,117.1571,45.82,34,100,4.43,Clouds
412,Fleetwood,GB,53.9253,-3.0109,46.06,93,75,8.05,Clouds
413,Ukiah,US,39.1502,-123.2078,57.94,98,100,0.0,Clouds
414,Trairi,BR,-3.2778,-39.2689,77.68,80,97,8.48,Clouds
415,Hofn,IS,64.2539,-15.2082,17.46,58,28,7.58,Clouds
416,Tadine,NC,-21.55,167.8833,79.88,83,5,18.16,Clear
417,Chebsara,RU,59.2002,38.8356,24.13,99,100,3.4,Clouds
418,Dubti,ET,11.7361,41.0853,81.14,52,72,9.46,Clouds
419,Coquimbo,CL,-29.9533,-71.3436,62.33,77,100,4.61,Clouds
420,Thinadhoo,MV,0.5333,72.9333,81.34,73,12,7.11,Clouds
421,Yulara,AU,-25.2406,130.9889,92.97,28,100,8.23,Clouds
422,Dzerzhinsk,RU,56.2389,43.4631,33.62,100,100,2.24,Snow
423,Parkes,AU,-33.1333,148.1833,85.35,40,63,3.0,Clouds
424,Beringovskiy,RU,63.05,179.3167,-11.45,90,100,16.28,Clouds
425,Kloulklubed,PW,7.0419,134.2556,82.99,76,92,10.51,Clouds
426,Issoire,FR,45.55,3.25,56.46,82,100,6.73,Clouds
427,Codrington,AU,-38.2667,141.9667,64.54,78,0,10.2,Clear
428,Pangnirtung,CA,66.1451,-65.7125,-11.13,91,100,1.1,Clouds
429,Puerto Penasco,MX,31.3167,-113.5333,61.65,84,2,6.91,Clear
430,Amapa,BR,1.0,-52.0,69.4,100,98,1.48,Clouds
431,Fallon,US,39.4735,-118.7774,48.92,87,100,5.75,Rain
432,Harrisburg,US,40.2737,-76.8844,53.08,86,75,3.44,Haze
433,Gopalpur,IN,19.2667,84.9167,78.69,69,8,10.69,Clear
434,Gotsu,JP,35.0,132.2167,43.72,61,94,16.35,Clouds
435,Mugango,TZ,-1.6833,33.7,77.18,45,84,7.45,Clouds
436,Kununurra,AU,-15.7667,128.7333,80.58,89,100,9.22,Clouds
437,Kyabe,TD,9.4515,18.9449,84.15,20,100,7.23,Clouds
438,Alihe,CN,50.5667,123.7167,-5.03,89,6,4.9,Clear
439,Dudinka,RU,69.4058,86.1778,-29.49,98,12,4.34,Clouds
440,Myaundzha,RU,63.0494,147.1858,-22.77,97,100,2.01,Clouds
441,Salinas,US,36.6777,-121.6555,62.83,79,96,4.7,Clouds
442,Korgen,NO,66.0771,13.8153,37.72,97,100,6.11,Rain
